iteration_number,pod_name,total_time_taken
101,default/lookup-standard-687f7b97bb-tnzdk,2.413780644s
102,default/lookup-standard-687f7b97bb-n9vrg,31.014295404s
103,default/lookup-standard-687f7b97bb-xrz4m,1.533661838s
104,default/lookup-standard-687f7b97bb-qwv5w,1.591743087s
105,default/lookup-standard-687f7b97bb-f8vb2,2.65135804s
106,default/lookup-standard-687f7b97bb-4ltcp,1.713325834s
107,default/lookup-standard-687f7b97bb-p6qzb,1.773684601s
108,default/lookup-standard-687f7b97bb-rvn62,1.831171191s
109,default/lookup-standard-687f7b97bb-fxrbp,2.891535256s
110,default/lookup-standard-687f7b97bb-5k5qp,1.951273996s
111,default/lookup-standard-687f7b97bb-ppgzz,2.011652119s
112,default/lookup-standard-687f7b97bb-l5mt5,2.070644021s
113,default/lookup-standard-687f7b97bb-8tfwv,1.129809513s
114,default/lookup-standard-687f7b97bb-4l8th,2.189519375s
115,default/lookup-standard-687f7b97bb-ptxcm,2.243353396s
116,default/lookup-standard-687f7b97bb-wg55p,2.302559622s
117,default/lookup-standard-687f7b97bb-v6zcf,1.361092689s
118,default/lookup-standard-687f7b97bb-qdxzg,2.42154889s
119,default/lookup-standard-687f7b97bb-l99pp,2.480255357s
120,default/lookup-standard-687f7b97bb-hbwck,1.541523742s
121,default/lookup-standard-687f7b97bb-7l88x,1.601093352s
122,default/lookup-standard-687f7b97bb-xm64z,2.660750342s
123,default/lookup-standard-687f7b97bb-dgj89,1.718466035s
124,default/lookup-standard-687f7b97bb-2nr7j,2.781972197s
125,default/lookup-standard-687f7b97bb-ktwjb,1.841246531s
126,default/lookup-standard-687f7b97bb-85zgp,1.897875693s
127,default/lookup-standard-687f7b97bb-vjnm8,1.959516194s
128,default/lookup-standard-687f7b97bb-dwh6q,2.018125659s
129,default/lookup-standard-687f7b97bb-f5jpv,2.077451193s
130,default/lookup-standard-687f7b97bb-vlnmv,2.133725293s
131,default/lookup-standard-687f7b97bb-dmtkx,2.190360674s
132,default/lookup-standard-687f7b97bb-szt5x,2.248424286s
133,default/lookup-standard-687f7b97bb-6s44t,1.308803091s
134,default/lookup-standard-687f7b97bb-5px2v,1.370715109s
135,default/lookup-standard-687f7b97bb-p5qg9,2.43193602s
136,default/lookup-standard-687f7b97bb-b62qt,2.492319056s
137,default/lookup-standard-687f7b97bb-kcmck,1.551984771s
138,default/lookup-standard-687f7b97bb-t7dgz,1.60870207s
139,default/lookup-standard-687f7b97bb-cht94,2.668558429s
140,default/lookup-standard-687f7b97bb-pg5fk,1.727199837s
141,default/lookup-standard-687f7b97bb-vjd2f,1.784594096s
142,default/lookup-standard-687f7b97bb-hf6cn,1.844066294s
143,default/lookup-standard-687f7b97bb-fqvpv,2.904369933s
144,default/lookup-standard-687f7b97bb-z6nk8,1.964011206s
145,default/lookup-standard-687f7b97bb-4wfbr,2.023721808s
146,default/lookup-standard-687f7b97bb-qh6rc,2.080228101s
147,default/lookup-standard-687f7b97bb-gh94r,2.140879126s
148,default/lookup-standard-687f7b97bb-98hxj,2.198352678s
149,default/lookup-standard-687f7b97bb-gf8kp,2.258149273s
150,default/lookup-standard-687f7b97bb-tbk9v,1.319479903s
151,default/lookup-standard-687f7b97bb-njb76,1.377712485s
152,default/lookup-standard-687f7b97bb-2tsf7,2.438155423s
153,default/lookup-standard-687f7b97bb-q5527,31.039375774s
154,default/lookup-standard-687f7b97bb-hr6vb,1.550751212s
155,default/lookup-standard-687f7b97bb-sk94p,1.6136138s
156,default/lookup-standard-687f7b97bb-6d7wn,2.67315623s
157,default/lookup-standard-687f7b97bb-xrrh4,1.736149687s
158,default/lookup-standard-687f7b97bb-g5lzq,1.802899489s
159,default/lookup-standard-687f7b97bb-hqt5r,1.855001108s
160,default/lookup-standard-687f7b97bb-48k5g,2.917567485s
161,default/lookup-standard-687f7b97bb-c8wtz,30.373512844s
162,default/lookup-standard-687f7b97bb-2vsqw,2.037988442s
163,default/lookup-standard-687f7b97bb-zbf79,2.098151382s
164,default/lookup-standard-687f7b97bb-vngqx,1.156185513s
165,default/lookup-standard-687f7b97bb-h5dvv,2.216155608s
166,default/lookup-standard-687f7b97bb-jdz84,2.277792345s
167,default/lookup-standard-687f7b97bb-2z2rs,2.331877929s
168,default/lookup-standard-687f7b97bb-7bljd,1.390251803s
169,default/lookup-standard-687f7b97bb-tfczt,2.452204708s
170,default/lookup-standard-687f7b97bb-x7b9v,2.513365176s
171,default/lookup-standard-687f7b97bb-x8ght,1.575736547s
172,default/lookup-standard-687f7b97bb-6577d,1.630683362s
173,default/lookup-standard-687f7b97bb-k4zlk,30.843993871s
174,default/lookup-standard-687f7b97bb-2vr5k,2.754363179s
175,default/lookup-standard-687f7b97bb-pbf6l,1.814121946s
176,default/lookup-standard-687f7b97bb-kqcr5,1.873450434s
177,default/lookup-standard-687f7b97bb-gjpwf,1.932847679s
178,default/lookup-standard-687f7b97bb-4s2hx,1.997989455s
179,default/lookup-standard-687f7b97bb-pcdk7,2.056433819s
180,default/lookup-standard-687f7b97bb-bbspd,2.116525455s
181,default/lookup-standard-687f7b97bb-k7xtr,1.178175521s
182,default/lookup-standard-687f7b97bb-lzs76,2.237110934s
183,default/lookup-standard-687f7b97bb-86xzp,30.787104416s
184,default/lookup-standard-687f7b97bb-8x9kz,2.359945383s
185,default/lookup-standard-687f7b97bb-hh5qw,1.418916333s
186,default/lookup-standard-687f7b97bb-xjp6x,2.480989134s
187,default/lookup-standard-687f7b97bb-24nqq,2.539119629s
188,default/lookup-standard-687f7b97bb-228tq,1.595068074s
189,default/lookup-standard-687f7b97bb-pcft4,1.647464465s
190,default/lookup-standard-687f7b97bb-chw9d,2.701348674s
191,default/lookup-standard-687f7b97bb-8kvll,30.140366119s
192,default/lookup-standard-687f7b97bb-47xxb,1.816341166s
193,default/lookup-standard-687f7b97bb-58hhh,1.870212838s
194,default/lookup-standard-687f7b97bb-dx429,1.925733953s
195,default/lookup-standard-687f7b97bb-lmt9r,1.983997819s
196,default/lookup-standard-687f7b97bb-ks9ps,30.576620245s
197,default/lookup-standard-687f7b97bb-l9dxl,2.097632062s
198,default/lookup-standard-687f7b97bb-ffr4d,1.153640477s
199,default/lookup-standard-687f7b97bb-lkcsn,2.208303176s
200,default/lookup-standard-687f7b97bb-tdwb6,2.266444803s
