iteration_number,total_time_taken
1,1.42
2,1.21
3,1.20
4,1.19
5,1.22
6,1.22
7,1.21
8,1.21
9,1.22
10,1.20
11,1.20
12,1.21
13,1.20
14,1.20
15,1.21
16,1.20
17,1.21
18,1.20
19,1.20
20,1.21
21,1.21
22,1.20
23,1.21
24,1.21
25,1.20
26,1.22
27,1.20
28,1.21
29,1.21
30,1.19
31,1.19
32,1.20
33,1.23
