iteration_number,pod_name,response_time
88,default/lookup-standard-00001-deployment-866799dcc6-jqpjs,1.823513
89,default/lookup-standard-00001-deployment-7f844bf9cc-5kc78,1.831562
90,default/lookup-standard-00001-deployment-5b5cb885fb-rm4hw,1.807558
91,default/lookup-standard-00001-deployment-65646db545-ttfmm,1.813219
92,default/lookup-standard-00001-deployment-85849bb9f7-kfbvn,1.813240
93,default/lookup-standard-00001-deployment-664d5df7bd-p98bb,1.815768
94,default/lookup-standard-00001-deployment-7fd6586d7-s8dqk,1.809174
95,default/lookup-standard-00001-deployment-58985b49c5-6467g,1.813940
96,default/lookup-standard-00001-deployment-558db78dcf-k9p25,1.821900
97,default/lookup-standard-00001-deployment-5597d46b7d-lj758,1.802978
98,default/lookup-standard-00001-deployment-7d47b9b545-h9wm2,1.815457
99,default/lookup-standard-00001-deployment-84d887f5b7-vh9d9,1.813351
100,default/lookup-standard-00001-deployment-769fcfb8fc-hjkmr,1.814672
101,default/lookup-standard-00001-deployment-7db7d5457-zk66k,1.810313
102,default/lookup-standard-00001-deployment-cc9894b54-clnhl,1.810970
103,default/lookup-standard-00001-deployment-798668dd94-b75jn,1.814861
104,default/lookup-standard-00001-deployment-58f4b89dbd-bx2bn,1.814090
105,default/lookup-standard-00001-deployment-8498756664-dwzln,1.813204
106,default/lookup-standard-00001-deployment-67694c84c7-sb8k9,1.814057
107,default/lookup-standard-00001-deployment-8487df6b69-dt9mz,1.816306
108,default/lookup-standard-00001-deployment-69d6f7b544-g2vdw,1.809397
109,default/lookup-standard-00001-deployment-6bfdd4c9f5-9j5mt,1.818654
110,default/lookup-standard-00001-deployment-765c965b4-lv4d2,1.813822
111,default/lookup-standard-00001-deployment-76d8d8578-522g5,1.812033
112,default/lookup-standard-00001-deployment-d4fd7b4d8-mj82b,1.805901
113,default/lookup-standard-00001-deployment-b88c5cc44-4pvr2,1.812199
114,default/lookup-standard-00001-deployment-ccdc84df7-shzt6,1.811394
115,default/lookup-standard-00001-deployment-797cb454cf-2bbst,2.812912
116,default/lookup-standard-00001-deployment-6fd6f5586f-g7hks,1.804162
117,default/lookup-standard-00001-deployment-645d6cb4b-vwp55,1.823261
118,default/lookup-standard-00001-deployment-8698b5c9d4-f2pbk,1.812874
119,default/lookup-standard-00001-deployment-6d9bd98bd6-6px52,1.805666
120,default/lookup-standard-00001-deployment-66b646b9b7-cjmr4,1.805652
121,default/lookup-standard-00001-deployment-799ff69b5-6q8h5,1.808441
122,default/lookup-standard-00001-deployment-57bfc7f8d8-4fzdc,1.810316
123,default/lookup-standard-00001-deployment-567ff748-gk5tk,1.806152
124,default/lookup-standard-00001-deployment-558b5fdb84-kjlbx,1.812980
125,default/lookup-standard-00001-deployment-9576c5798-8d9g2,1.810839
126,default/lookup-standard-00001-deployment-654b4d7788-6d4fj,1.808836
127,default/lookup-standard-00001-deployment-7cb4957fcd-ml7d9,1.820427
128,default/lookup-standard-00001-deployment-75b58458bb-vdw72,1.808284
129,default/lookup-standard-00001-deployment-f749567c7-fk9gr,1.808110
130,default/lookup-standard-00001-deployment-89b487cb4-bttdw,1.813873
131,default/lookup-standard-00001-deployment-67846ccb6-xs85z,1.810053
132,default/lookup-standard-00001-deployment-85c5d9b485-t5zxf,1.808119
133,default/lookup-standard-00001-deployment-779d48975f-zslw8,1.808273
134,default/lookup-standard-00001-deployment-5478b8fbd9-xk6gq,1.804911
135,default/lookup-standard-00001-deployment-58dff8958f-55kjb,1.809550
136,default/lookup-standard-00001-deployment-84bc5c88f7-m6m2p,1.809449
137,default/lookup-standard-00001-deployment-7cdccdd5fb-bqplv,1.807518
138,default/lookup-standard-00001-deployment-79f8dbcfc9-88zr7,1.802777
